,player_id,known_as,nationality
171,180337.0,Sardar Azmoun,Iran
172,,Omid Noorafkan,Iran
173,,Ahmad Noorollahi,Iran
174,,Omid Ebrahimi,Iran
175,307058.0,Mehdi Taremi,Iran
176,,Karim Ansarifard,Iran
177,,Vahid Amiri,Iran
178,,Mehdi Torabi,Iran
179,,Matt Turner,United States
180,,Sean Johnson,United States
181,242284.0,Ethan Horvath,United States
182,,Cameron Carter Vickers,United States
183,361104.0,Sergino Dest,United States
184,,Aaron Long,United States
185,,Shaq Moore,United States
186,145466.0,Tim Ream,United States
187,349701.0,Antonee Robinson,United States
188,504153.0,Joe Scally,United States
189,,DeAndre Yedlin,United States
190,,Walker Zimmerman,United States
191,,Brenden Aaronson,United States
192,,Kellyn Acosta,United States
193,332705.0,Tyler Adams,United States
194,,Luca de la Torre,United States
195,,Weston McKennie,United States
196,503991.0,Yunus Musah,United States
197,,Cristian Roldan,United States
198,,Jesus Ferreira,United States
199,,Jordan Morris,United States
200,315779.0,Christian Pulisic,United States
201,504215.0,Giovanni Reyna,United States
202,,Joshua Sargent,United States
203,370846.0,Timothy Weah,United States
204,315291.0,Haji Wright,United States
205,45494.0,Wayne Hennessey,Wales
206,203026.0,Danny Ward,Wales
207,,Adam Davies,Wales
208,192765.0,Ben Davies,Wales
209,,Ben Cabango,Wales
210,,Tom Lockyer,Wales
211,297212.0,Joe Rodon,Wales
212,480987.0,Chris Mepham,Wales
213,392771.0,Ethan Ampadu,Wales
214,,Chris Gunter,Wales
215,503680.0,Neco Williams,Wales
216,214666.0,Connor Roberts,Wales
217,,Sorba Thomas,Wales
218,51452.0,Joe Allen,Wales
219,,Matthew Smith,Wales
220,496652.0,Dylan Levitt,Wales
221,279455.0,Harry Wilson,Wales
222,,Joe Morrell,Wales
223,,Jonny Williams,Wales
224,50057.0,Aaron Ramsey,Wales
225,,Rubin Colwill,Wales
226,39381.0,Gareth Bale,Wales
227,,Kieffer Moore,Wales
228,,Mark Harris,Wales
229,,Brennan Johnson,Wales
230,319301.0,Daniel James,Wales
231,111873.0,Emiliano Martinez,Argentina
232,229604.0,Geronimo Rulli,Argentina
233,,Franco Armani,Argentina
234,242359.0,Juan Musso,Argentina
235,54534.0,Agustin Marchesin,Argentina
236,,Agustin Rossi,Argentina
237,424042.0,Nahuel Molina,Argentina
238,402733.0,Gonzalo Montiel,Argentina
239,355915.0,Cristian Romero,Argentina
240,113133.0,German Pezzella,Argentina
241,54781.0,Nicolas Otamendi,Argentina
242,480762.0,Lisandro Martinez,Argentina
243,60410.0,Marcos Acuna,Argentina
244,131225.0,Nicolas Tagliafico,Argentina
245,480763.0,Juan Foyth,Argentina
246,474800.0,Facundo Medina,Argentina
247,491693.0,Nehuen Perez,Argentina
248,491693.0,Nehuen Perez,Argentina
249,373373.0,Lucas Martinez Quarta,Argentina
250,469781.0,Marcos Senesi,Argentina
251,,Walter Kannemann,Argentina
252,,Rodrigo De Paul,Argentina
253,166237.0,Leandro Paredes,Argentina
254,348795.0,Giovani Lo Celso,Argentina
255,534033.0,Alexis Mac Allister,Argentina
256,,Guido Rodriguez,Argentina
257,,Alejandro Gomez,Argentina
258,,Enzo Fernandez,Argentina
259,401578.0,Exequiel Palacios,Argentina
260,,Thiago Almada,Argentina
261,497291.0,Nicolas Dominguez,Argentina
262,189441.0,Lucas Ocampos,Argentina
